Product_ID	Product_id_LAST	is_in_catalog	value
268	268	0	
269	269	0	
270	270	0	
273	66492	0	"Etna Rosso DOC ""O’ scuru o’ scuru"" 2016 - Al-Cantàra"
274	66492	0	"Etna Rosso DOC ""O’ scuru o’ scuru"" 2016 - Al-Cantàra"
275	66492	0	"Etna Rosso DOC ""O’ scuru o’ scuru"" 2016 - Al-Cantàra"
276	53629	0	"Terre Siciliane Rosso IGP ""'U Toccu"" 2016 - Al-Cantàra"
279	279	0	
280	65211	0	"Etna Bianco DOC ""'Luci Luci"" 2018 - Al-Cantàra"
281	65211	0	"Etna Bianco DOC ""'Luci Luci"" 2018 - Al-Cantàra"
285	94682	0	"Etna Rosato DOC ""Amuri di Fimmina e Amuri di Matri"" 2019 - Al-Cantàra"
286	286	0	
287	287	0	
288	288	0	
289	289	0	
291	291	0	
292	292	0	
293	293	0	
295	295	0	
296	296	0	
297	297	0	
299	299	0	
301	301	0	
302	302	0	
303	303	0	
304	304	0	
306	306	0	
307	307	0	
308	308	0	
309	309	0	
311	311	0	
312	53912	0	"Umbria IGT ""Contrario"" 2015 - Antonelli San Marco"
313	71457	0	Montefalco Rosso DOC 2017 - Antonelli 
314	18877	0	Montefalco Rosso Riserva DOC 2008 - Antonelli NON UTILIZZARE
315	51305	0	Montefalco Sagrantino DOCG 2013 - Antonelli San Marco
316	4256	0	"Sagrantino di Montefalco DOCG ""Chiusa di Pannone"" 2006 - Antonelli"
318	318	0	
319	319	0	
320	320	0	
321	321	0	
323	323	0	
324	324	0	
325	325	0	
326	326	0	
328	328	0	
329	20065	0	"Cannonau di Sardegna Riserva DOC ""Barrosu"" 2015 - Giovanni Montisci"
330	69617	0	"Cannonau di Sardegna Riserva DOC ""Barrosu Franzisca"" 2017 - Giovanni Montisci"
332	332	0	
333	333	0	
334	334	0	
335	335	0	
338	338	0	
339	339	0	
340	340	0	
341	341	0	
344	344	0	
345	345	0	
346	346	0	
347	347	0	
348	348	0	
351	1476	0	Primitivo di Manduria DOC 2009 - Poderi Angelini
352	352	0	
353	353	0	
354	354	0	
356	356	0	
357	357	0	
358	358	0	
359	359	0	
361	361	0	
362	362	0	
363	363	0	
365	365	0	
366	366	0	
367	367	0	
368	368	0	
369	369	0	
371	371	0	
